sex,age,age_cat,race,decile_score,juv_fel_count,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,c_charge_degree,is_recid,score_text,two_year_recid,length_of_stay
1,41,1,1,2,0,0,0,0,-1.0,0,1,0,1,1
1,31,1,1,2,0,0,0,3,-1.0,1,1,0,1,1
1,39,1,1,1,0,0,0,1,-1.0,0,0,0,0,0
1,33,1,1,1,0,0,0,0,-1.0,0,0,0,0,0
0,21,0,0,6,0,1,0,1,-1.0,0,1,1,1,0
1,27,1,0,3,0,0,0,3,-1.0,1,0,0,0,37
0,24,0,1,3,0,0,0,0,0.0,1,0,0,0,0
1,29,1,0,3,0,0,0,3,-1.0,1,1,0,1,1
1,21,0,1,5,0,0,0,0,-1.0,0,1,1,1,1
0,31,1,1,10,0,0,2,14,0.0,0,0,2,0,0
1,62,2,1,1,0,0,0,0,0.0,1,0,0,0,1
1,39,1,1,6,0,0,0,3,-1.0,0,1,1,1,1
1,56,2,1,3,0,0,0,2,-1.0,1,0,0,0,16
1,28,1,0,1,0,0,0,6,-1.0,0,0,0,0,0
0,26,1,0,6,0,0,0,6,-1.0,0,1,1,1,3
1,24,0,0,9,0,0,0,5,-1.0,0,1,2,1,6
1,28,1,0,10,0,0,1,7,-1.0,0,0,2,0,1
0,36,1,0,2,0,0,0,1,-1.0,1,0,0,0,1
0,38,1,1,1,0,0,0,0,0.0,1,0,0,0,0
1,23,0,0,2,0,0,0,1,-2.0,0,0,0,0,0
1,28,1,1,7,0,0,0,5,-1.0,1,1,1,1,26
0,29,1,1,6,0,0,0,7,-1.0,0,1,1,1,8
1,29,1,0,3,0,0,0,0,-1.0,1,0,0,0,1
1,29,1,0,3,0,0,0,11,-1.0,0,1,0,1,1
1,34,1,0,7,0,0,0,8,-1.0,1,1,1,0,1
1,26,1,0,7,0,0,0,6,-1.0,0,1,1,1,2
1,58,2,0,1,0,0,0,0,-1.0,0,0,0,0,2
1,48,2,1,6,0,0,0,0,-6.0,1,1,1,1,0
1,30,1,0,3,0,0,0,1,-1.0,0,1,0,1,1
1,44,1,0,3,0,0,0,0,-1.0,0,0,0,0,2
1,36,1,1,3,0,0,0,5,-1.0,0,0,0,0,3
0,29,1,0,9,0,1,0,11,-1.0,0,1,2,1,23
1,53,2,0,6,0,0,0,3,-1.0,0,1,1,1,5
1,35,1,0,6,0,0,0,8,-1.0,1,0,1,0,8
0,39,1,1,3,0,0,0,3,-1.0,0,0,0,0,1
0,26,1,1,6,0,0,0,2,0.0,0,1,1,1,33
1,26,1,0,9,1,0,0,10,-1.0,0,1,2,1,1
1,28,1,0,6,0,0,0,8,-1.0,1,1,1,1,0
0,21,0,1,7,0,3,1,3,-1.0,1,1,1,1,1
1,37,1,0,5,0,0,0,8,-1.0,0,1,1,0,14
1,22,0,0,10,1,0,0,12,0.0,0,1,2,1,35
1,28,1,0,10,0,8,2,12,-1.0,0,1,2,1,76
0,56,2,1,1,0,0,0,0,-1.0,1,0,0,0,0
1,30,1,1,2,0,0,0,0,-1.0,0,0,0,0,0
1,27,1,0,4,0,0,0,2,-1.0,0,0,0,0,3
0,27,1,1,10,0,0,0,6,-1.0,0,0,2,0,1
1,43,1,0,9,0,0,0,15,-1.0,1,1,2,1,0
0,53,2,0,6,0,0,0,5,-1.0,0,0,1,0,1
1,27,1,0,7,1,0,0,6,-1.0,0,1,1,1,0
1,26,1,0,5,0,1,0,6,-8.0,1,0,1,0,1
0,24,0,1,6,0,0,0,1,-1.0,0,0,1,0,0
1,30,1,0,6,0,0,0,0,0.0,0,0,1,0,0
1,26,1,0,9,0,0,0,4,-1.0,0,1,2,0,0
1,24,0,0,6,2,1,0,3,0.0,1,1,1,1,0
1,54,2,0,1,0,0,0,4,-1.0,0,0,0,0,1
0,36,1,0,9,0,0,0,13,-1.0,0,1,2,1,33
1,21,0,0,10,0,0,0,1,0.0,0,1,2,1,0
1,26,1,1,5,0,0,0,10,-1.0,0,1,1,1,1
1,26,1,1,8,0,0,3,10,0.0,1,1,2,1,0
1,45,2,1,1,0,0,0,0,-1.0,0,0,0,0,0
1,47,2,1,5,0,0,0,1,-1.0,1,0,1,0,0
1,31,1,0,1,0,0,0,2,-1.0,0,0,0,0,1
1,21,0,0,7,0,0,0,0,-1.0,0,1,1,1,1
0,28,1,0,4,1,0,0,1,-1.0,1,1,0,1,0
1,29,1,1,8,1,0,1,9,-1.0,0,1,2,1,1
1,28,1,0,4,0,0,0,2,-1.0,0,0,0,0,0
0,25,1,1,4,0,0,0,1,-2.0,1,1,0,1,0
1,22,0,0,3,0,0,0,0,-1.0,0,1,0,1,1
0,21,0,0,6,0,0,0,0,-1.0,0,0,1,0,0
1,48,2,1,8,0,0,0,0,-1.0,0,1,2,1,68
1,25,1,0,9,0,0,1,4,-1.0,0,1,2,1,169
1,37,1,0,7,0,0,0,7,-1.0,0,0,1,0,1
1,31,1,1,6,0,0,0,5,0.0,0,1,1,1,0
1,24,0,0,3,0,0,0,0,-1.0,1,0,0,0,1
1,30,1,0,10,0,0,0,15,-1.0,0,1,2,1,93
1,47,2,1,2,0,0,0,5,-1.0,1,0,0,0,4
1,66,2,1,3,0,0,0,2,-1.0,1,0,0,0,56
1,51,2,0,8,0,0,0,21,-1.0,0,1,2,1,449
0,28,1,1,6,0,0,0,3,0.0,0,1,1,1,0
1,35,1,0,4,0,0,0,1,0.0,1,0,0,0,1
1,24,0,0,5,0,0,0,0,-1.0,0,0,1,0,2
1,36,1,1,3,0,0,0,0,-1.0,0,0,0,0,0
1,21,0,0,3,0,0,1,0,-2.0,0,1,0,1,0
1,27,1,0,10,0,0,0,7,0.0,0,1,2,1,34
1,28,1,0,9,0,1,0,18,0.0,0,1,2,1,0
1,39,1,1,9,0,0,0,16,0.0,0,1,2,1,35
1,19,0,0,4,0,0,0,0,-1.0,0,1,0,1,0
1,40,1,0,4,0,0,0,2,-1.0,0,0,0,0,1
1,30,1,1,8,0,0,0,5,-1.0,0,1,2,1,2
1,28,1,1,3,0,0,0,0,-1.0,0,1,0,1,0
1,27,1,1,2,0,0,0,0,-1.0,1,0,0,0,1
1,25,1,0,6,0,0,0,7,-1.0,0,0,1,0,18
0,24,0,0,3,0,0,0,0,-2.0,0,0,0,0,0
1,44,1,1,7,0,0,0,0,-1.0,0,0,1,0,4
1,44,1,0,1,0,0,0,0,-1.0,0,0,0,0,0
0,23,0,0,7,0,0,0,0,0.0,1,0,1,0,0
0,31,1,1,8,0,0,1,2,-1.0,0,1,2,1,1
1,27,1,0,2,0,0,1,0,0.0,0,0,0,0,-1
0,26,1,1,8,0,0,0,1,-1.0,0,1,2,1,0
1,57,2,0,5,0,0,0,16,0.0,1,1,1,1,12
1,55,2,1,1,0,0,0,0,-1.0,0,0,0,0,0
0,36,1,1,6,0,0,0,7,-1.0,0,1,1,1,7
1,30,1,0,9,0,0,0,18,0.0,1,1,2,1,1
1,34,1,0,8,0,0,0,0,-1.0,0,1,2,1,33
1,24,0,0,2,0,0,0,1,-1.0,0,0,0,0,0
1,42,1,0,1,0,0,0,7,-1.0,0,0,0,0,0
0,34,1,1,10,0,0,0,12,-1.0,0,1,2,1,3
1,40,1,1,4,0,0,0,6,-1.0,0,0,0,0,0
1,31,1,1,3,0,0,0,3,0.0,1,1,0,1,0
1,27,1,1,3,0,0,0,1,-1.0,1,0,0,0,31
1,37,1,0,3,0,0,0,3,-1.0,1,0,0,0,80
1,25,1,0,2,0,0,0,1,0.0,0,0,0,0,0
1,45,2,1,1,0,0,0,2,-1.0,0,0,0,0,7
1,31,1,1,5,0,0,0,1,-3.0,0,0,1,0,0
1,23,0,0,5,0,0,0,0,-1.0,0,0,1,0,3
1,21,0,0,4,0,0,0,0,0.0,0,0,0,0,2
1,28,1,0,5,0,0,0,6,-1.0,1,1,1,1,5
1,35,1,0,1,0,0,0,0,-1.0,0,0,0,0,0
1,29,1,0,4,0,1,1,4,-1.0,0,1,0,1,1
1,23,0,0,4,0,0,0,2,-1.0,0,1,0,1,1
1,28,1,0,10,0,0,0,7,-1.0,0,1,2,1,0
0,34,1,1,7,0,0,0,0,0.0,1,1,1,1,2
0,32,1,1,2,0,0,0,5,-29.0,0,1,0,0,4
1,25,1,0,4,0,0,0,2,-1.0,0,0,0,0,1
1,34,1,1,7,0,1,0,15,-1.0,0,0,1,0,1
1,47,2,0,4,0,0,0,4,-1.0,0,1,0,1,0
0,30,1,0,5,0,0,0,4,-1.0,0,0,1,0,1
1,22,0,1,3,0,0,0,0,-1.0,1,1,0,1,0
0,47,2,0,9,0,0,0,7,-1.0,0,1,2,1,0
1,37,1,1,8,0,0,0,3,-1.0,0,0,2,0,241
1,37,1,0,5,0,0,0,8,-1.0,1,0,1,0,1
1,26,1,0,10,0,0,0,7,-1.0,0,1,2,1,2
0,31,1,1,2,0,0,0,0,0.0,1,0,0,0,3
1,20,0,1,3,0,0,3,0,0.0,0,1,0,1,0
1,22,0,0,7,0,0,0,0,-1.0,0,1,1,1,50
1,33,1,0,10,0,0,1,14,-1.0,0,1,2,1,1
1,30,1,0,2,0,0,0,1,-1.0,1,0,0,0,0
1,27,1,1,6,0,0,0,5,-1.0,0,1,1,1,6
1,24,0,0,9,0,0,0,2,-1.0,1,1,2,1,2
1,29,1,0,2,0,0,0,0,0.0,1,0,0,0,1
1,24,0,1,3,0,0,0,0,-1.0,0,0,0,0,2
0,36,1,0,2,0,0,0,1,-1.0,0,0,0,0,1
1,23,0,0,3,0,0,0,0,-1.0,1,1,0,1,0
1,21,0,0,10,0,0,1,1,0.0,0,1,2,1,0
1,29,1,0,6,0,0,0,6,-1.0,0,1,1,1,1
1,29,1,0,5,0,0,0,4,-1.0,1,1,1,0,0
0,26,1,0,9,0,0,0,0,-6.0,1,0,2,0,6
0,50,2,1,1,0,0,0,7,-8.0,1,1,0,1,7
1,32,1,0,2,0,0,0,1,-1.0,0,0,0,0,98
1,30,1,0,2,0,0,0,1,-1.0,0,0,0,0,83
1,25,1,0,5,0,0,0,0,-1.0,0,0,1,0,0
0,44,1,1,5,0,0,0,10,-1.0,0,1,1,1,5
1,58,2,0,4,0,0,0,0,-1.0,0,1,0,1,1
1,24,0,0,6,0,0,0,5,0.0,0,0,1,0,-1
1,20,0,0,10,0,1,0,1,-1.0,0,1,2,1,1
1,29,1,1,1,0,0,0,0,-1.0,1,1,0,1,0
1,21,0,1,5,0,0,0,1,-1.0,0,0,1,0,0
0,46,2,1,1,0,0,0,1,-30.0,0,0,0,0,29
1,29,1,0,10,0,1,0,17,-1.0,0,1,2,1,15
1,30,1,0,4,0,0,0,0,-1.0,0,1,0,1,1
1,55,2,0,1,0,0,0,8,-1.0,0,1,0,1,2
1,47,2,1,1,0,0,0,2,-30.0,1,0,0,0,27
1,30,1,0,10,0,0,0,13,-1.0,0,1,2,1,474
1,24,0,0,5,0,0,3,4,-1.0,0,1,1,1,1
1,45,2,1,6,0,0,0,0,-1.0,0,1,1,1,1
1,26,1,0,5,0,0,0,2,-26.0,1,0,1,0,2
0,42,1,1,2,0,0,0,0,-1.0,1,0,0,0,0
1,34,1,0,2,0,0,0,1,-1.0,1,0,0,0,2
1,21,0,0,4,0,0,0,0,0.0,1,1,0,1,0
0,69,2,1,1,0,0,0,2,0.0,1,0,0,0,0
1,24,0,1,5,0,0,1,5,-22.0,0,1,1,1,5
1,45,2,0,1,0,0,0,1,-1.0,1,0,0,0,0
1,25,1,0,8,0,3,1,8,-1.0,1,1,2,1,0
1,52,2,0,1,0,0,0,2,-1.0,1,0,0,0,10
1,30,1,1,1,0,0,0,0,-1.0,0,0,0,0,0
1,38,1,0,4,0,0,0,2,0.0,1,1,0,1,10
1,23,0,0,7,0,2,2,4,-1.0,0,1,1,1,0
0,22,0,0,6,0,0,0,0,0.0,0,0,1,0,1
1,35,1,0,3,0,0,0,6,-1.0,0,0,0,0,0
1,24,0,0,7,0,0,0,0,0.0,0,1,1,1,0
1,35,1,0,6,0,0,0,1,-1.0,1,1,1,0,64
1,25,1,0,6,0,0,0,2,-1.0,0,0,1,0,0
1,58,2,1,2,0,0,0,3,-4.0,1,0,0,0,-1
1,27,1,0,4,0,0,0,7,-1.0,0,1,0,1,2
1,24,0,0,9,0,0,1,6,0.0,0,1,2,1,45
1,33,1,1,2,0,0,0,2,-23.0,1,0,0,0,0
1,44,1,1,3,0,0,0,4,-1.0,0,0,0,0,1
1,30,1,0,5,0,0,0,3,-1.0,0,0,1,0,2
1,28,1,1,3,0,0,0,0,-1.0,0,0,0,0,0
1,34,1,0,2,0,0,0,1,-1.0,0,0,0,0,1
1,26,1,0,8,0,0,0,1,-30.0,0,1,2,1,4
1,23,0,0,2,0,0,0,0,-1.0,0,0,0,0,2
1,29,1,1,8,0,0,1,11,-1.0,0,1,2,1,49
1,31,1,0,4,0,0,0,0,-1.0,1,0,0,0,0
1,30,1,0,8,0,0,0,14,-1.0,0,1,2,1,64
1,21,0,1,4,0,0,0,2,-1.0,0,1,0,1,77
1,44,1,0,1,0,0,0,0,-1.0,0,0,0,0,1
1,52,2,0,1,0,0,0,0,0.0,0,0,0,0,1
1,30,1,0,5,0,0,0,6,-1.0,0,1,1,1,0
1,31,1,0,8,0,0,0,9,0.0,0,1,2,1,0
0,21,0,0,6,0,1,0,2,-12.0,0,1,1,0,12
1,77,2,1,1,0,0,0,1,-1.0,1,0,0,0,3
1,61,2,1,6,0,0,0,4,-1.0,0,0,1,0,118
0,41,1,0,1,0,0,0,0,-1.0,1,0,0,0,0
0,24,0,1,5,0,0,0,0,-1.0,1,0,1,0,1
0,34,1,0,3,0,0,0,5,-1.0,0,1,0,0,1
1,25,1,0,7,0,0,2,6,-1.0,1,1,1,1,0
1,30,1,0,1,0,0,0,1,-1.0,0,0,0,0,0
1,55,2,1,1,0,0,0,1,-1.0,0,1,0,1,1
1,32,1,1,6,0,0,0,0,-1.0,0,1,1,1,4
1,53,2,0,2,0,0,0,5,0.0,1,0,0,0,2
1,50,2,1,2,0,0,0,1,-1.0,1,0,0,0,0
1,36,1,0,6,0,0,0,7,-1.0,0,1,1,1,0
1,35,1,0,8,0,0,0,16,-1.0,0,1,2,1,191
0,25,1,1,3,0,0,0,0,-1.0,1,0,0,0,1
0,31,1,1,6,0,0,0,2,0.0,1,0,1,0,117
0,26,1,0,5,0,0,0,1,-1.0,0,0,1,0,1
1,25,1,1,2,0,0,0,0,-1.0,1,0,0,0,0
1,32,1,0,1,0,0,0,0,0.0,1,0,0,0,0
1,40,1,1,3,0,0,0,5,-1.0,0,0,0,0,0
1,35,1,0,3,0,0,0,0,-2.0,0,0,0,0,0
1,27,1,0,3,0,0,0,2,-1.0,0,0,0,0,3
1,33,1,0,9,0,0,0,12,-1.0,0,1,2,1,2
1,30,1,1,2,0,0,0,2,-22.0,0,0,0,0,0
1,30,1,0,4,0,0,0,0,0.0,0,0,0,0,3
1,41,1,0,8,0,0,0,19,0.0,0,1,2,0,220
0,29,1,1,7,0,0,0,0,-3.0,0,0,1,0,0
1,25,1,1,5,0,0,0,0,-1.0,0,0,1,0,-1
1,50,2,1,1,0,0,0,0,-1.0,0,0,0,0,2
1,35,1,1,2,0,0,0,4,-1.0,0,0,0,0,169
1,37,1,0,9,1,0,0,17,0.0,0,1,2,1,1
1,43,1,0,1,0,0,0,4,-26.0,0,1,0,1,25
1,29,1,1,6,0,0,0,12,0.0,1,1,1,1,39
0,61,2,1,1,0,0,0,0,-1.0,0,0,0,0,1
0,22,0,0,9,0,0,0,4,0.0,0,1,2,1,2
1,27,1,1,4,0,0,0,2,-1.0,0,1,0,1,0
0,34,1,0,2,0,0,0,1,-21.0,1,0,0,0,15
0,20,0,0,7,0,0,1,0,-1.0,1,1,1,1,1
1,30,1,0,1,0,0,0,0,-1.0,1,0,0,0,0
0,43,1,0,1,0,0,0,0,-1.0,1,0,0,0,1
1,51,2,1,1,0,0,0,4,-1.0,0,1,0,1,1
1,42,1,0,9,1,0,0,7,0.0,0,1,2,1,1
0,24,0,1,6,0,0,0,0,0.0,1,0,1,0,0
1,36,1,1,1,0,0,0,12,-26.0,0,0,0,0,13
1,39,1,1,1,0,0,0,0,-1.0,0,1,0,1,2
1,32,1,0,5,0,0,0,2,-1.0,1,0,1,0,1
1,38,1,0,1,0,0,0,0,0.0,1,0,0,0,-1
0,27,1,0,6,0,0,0,8,-23.0,0,1,1,0,3
0,30,1,1,6,0,0,0,0,-1.0,0,1,1,1,2
0,43,1,1,2,0,0,0,0,-1.0,1,1,0,1,1
1,30,1,0,9,6,0,0,8,-1.0,1,1,2,1,0
0,26,1,1,4,0,0,0,1,-2.0,1,1,0,0,0
1,37,1,1,4,0,0,0,3,-1.0,0,0,0,0,38
1,25,1,1,9,0,0,0,5,-1.0,0,1,2,1,0
1,65,2,1,3,0,0,0,1,-1.0,0,1,0,1,0
1,29,1,1,1,0,0,0,1,-1.0,0,0,0,0,0
1,32,1,1,5,0,0,0,3,-1.0,0,0,1,0,120
1,21,0,0,9,0,2,6,8,30.0,0,1,2,1,243
1,21,0,1,3,0,0,0,1,-1.0,0,0,0,0,1
1,47,2,1,4,0,0,0,13,0.0,1,1,0,1,66
0,36,1,0,2,0,0,0,4,-13.0,0,0,0,0,0
0,25,1,0,7,0,0,0,6,24.0,0,1,1,1,12
1,32,1,1,2,0,0,0,4,0.0,1,1,0,1,1
1,43,1,1,1,0,0,0,1,-1.0,0,0,0,0,1
1,27,1,0,6,0,0,0,2,-1.0,0,0,1,0,131
1,26,1,0,4,0,0,0,8,-1.0,1,1,0,1,26
1,21,0,0,3,0,0,0,1,-22.0,0,0,0,0,22
1,40,1,0,6,2,0,0,23,30.0,1,1,1,1,31
1,38,1,1,3,0,0,0,3,0.0,1,0,0,0,1
1,41,1,0,9,0,0,0,7,-1.0,0,0,2,0,58
1,25,1,1,10,0,0,0,7,-1.0,0,1,2,1,43
1,21,0,1,4,0,0,0,1,-11.0,0,0,0,0,11
0,74,2,1,1,0,0,0,0,-1.0,1,0,0,0,0
1,41,1,1,4,0,0,0,5,-1.0,1,1,0,1,0
1,30,1,0,2,0,1,0,1,-1.0,1,0,0,0,1
0,33,1,1,6,0,0,0,3,-2.0,0,1,1,1,1
1,24,0,1,2,0,0,0,2,0.0,1,0,0,0,0
0,29,1,1,6,0,0,0,0,-1.0,1,0,1,0,-1
0,42,1,1,2,0,0,0,0,-1.0,0,1,0,1,1
0,30,1,1,2,0,0,1,1,0.0,0,0,0,0,0
1,33,1,0,5,0,0,0,0,-1.0,0,0,1,0,45
1,21,0,0,6,0,0,1,2,-1.0,0,1,1,1,7
0,41,1,1,4,0,0,0,9,2.0,1,1,0,1,0
0,28,1,0,8,0,0,0,5,-1.0,1,0,2,0,2
0,52,2,0,1,0,0,0,3,0.0,0,0,0,0,0
1,25,1,0,2,0,0,0,0,0.0,0,1,0,1,90
0,27,1,0,3,0,0,0,0,-1.0,1,1,0,0,1
1,35,1,1,2,0,0,0,0,0.0,0,0,0,0,0
1,40,1,0,3,0,0,0,2,-1.0,1,1,0,0,0
1,24,0,0,9,0,0,2,2,-1.0,1,1,2,1,24
1,24,0,0,10,5,1,0,10,0.0,0,1,2,1,0
1,50,2,1,2,0,0,0,1,0.0,0,0,0,0,9
1,21,0,0,7,0,0,0,1,-1.0,0,1,1,1,0
1,24,0,0,5,0,0,2,2,-1.0,0,1,1,1,0
1,29,1,0,1,0,0,0,3,-1.0,1,0,0,0,1
0,25,1,1,4,0,0,0,0,0.0,1,0,0,0,0
1,38,1,0,3,0,0,0,0,-1.0,0,1,0,1,0
1,46,2,1,3,0,0,0,1,-1.0,0,0,0,0,10
1,33,1,0,7,0,0,2,9,-28.0,1,1,1,1,14
0,39,1,0,5,0,0,0,3,-1.0,0,1,1,1,0
1,35,1,0,4,0,0,0,4,-1.0,0,0,0,0,11
1,49,2,1,2,0,0,0,12,-1.0,0,1,0,1,2
1,27,1,1,5,0,0,0,0,0.0,1,0,1,0,2
1,22,0,0,6,0,1,3,2,-1.0,0,0,1,0,0
0,29,1,0,4,0,0,0,0,-1.0,0,1,0,1,1
1,31,1,0,9,0,0,0,0,-1.0,1,0,2,0,1
0,65,2,1,1,0,0,0,0,-1.0,0,0,0,0,0
1,24,0,1,10,0,0,2,6,0.0,0,0,2,0,7
1,46,2,0,2,0,0,0,0,0.0,1,0,0,0,1
1,20,0,0,4,0,0,0,0,0.0,0,1,0,1,-1
1,29,1,0,10,0,0,0,16,-1.0,0,1,2,1,33
1,29,1,0,3,0,0,0,7,0.0,0,1,0,0,2
0,56,2,1,1,0,0,0,3,-1.0,0,0,0,0,0
1,21,0,0,4,0,0,0,0,0.0,0,0,0,0,1
1,40,1,0,10,0,0,0,0,0.0,0,1,2,1,4
1,22,0,0,9,0,0,0,2,-1.0,1,1,2,1,54
1,39,1,1,1,0,0,0,0,-1.0,1,0,0,0,1
1,22,0,0,8,0,1,0,1,0.0,0,1,2,1,-1
1,36,1,1,2,0,0,0,1,0.0,0,0,0,0,0
1,30,1,0,1,0,0,0,0,-1.0,0,0,0,0,1
1,36,1,0,6,0,0,0,0,-1.0,1,0,1,0,1
1,32,1,0,1,0,0,0,0,-1.0,0,0,0,0,2
0,34,1,0,9,0,0,0,5,-1.0,0,1,2,1,25
1,52,2,1,1,0,0,0,0,-1.0,1,0,0,0,0
1,20,0,1,10,0,1,1,1,-1.0,0,1,2,1,13
1,38,1,0,4,0,0,0,5,-1.0,1,0,0,0,5
1,46,2,1,1,0,0,0,0,0.0,1,0,0,0,0
1,27,1,0,4,0,0,0,0,-1.0,0,1,0,1,9
1,20,0,0,3,0,0,0,2,-17.0,0,1,0,1,16
0,29,1,1,2,0,0,0,1,-6.0,0,1,0,1,1
0,35,1,0,2,0,0,0,7,-1.0,0,1,0,1,2
1,37,1,1,1,0,0,0,1,-1.0,1,1,0,1,1
1,63,2,1,1,0,0,0,0,-1.0,0,0,0,0,0
1,27,1,0,4,0,0,0,1,-1.0,0,1,0,1,0
1,27,1,0,5,0,0,0,0,-1.0,0,0,1,0,3
1,24,0,0,6,0,0,0,2,0.0,1,1,1,1,0
1,25,1,1,10,0,0,0,4,0.0,0,1,2,1,33
1,27,1,0,1,0,0,0,0,0.0,1,0,0,0,1
0,48,2,0,5,0,0,0,0,-1.0,1,0,1,0,9
0,26,1,0,4,0,0,0,1,-23.0,1,0,0,0,0
1,23,0,1,5,0,0,2,1,-20.0,0,1,1,1,19
1,22,0,1,4,0,1,1,3,0.0,1,1,0,1,0
1,41,1,0,1,0,0,0,0,-1.0,0,0,0,0,3
1,21,0,0,7,0,0,0,0,-1.0,0,0,1,0,0
0,39,1,0,6,0,0,0,3,-1.0,1,0,1,0,2
1,46,2,1,1,0,0,0,0,-1.0,1,0,0,0,0
1,36,1,0,4,0,0,0,2,-1.0,0,1,0,1,47
1,32,1,1,3,0,0,0,0,-1.0,1,0,0,0,0
1,38,1,0,4,0,0,0,17,-1.0,1,1,0,1,1
1,22,0,0,5,0,0,0,1,-1.0,0,1,1,1,5
1,69,2,1,1,0,0,0,0,-7.0,1,1,0,1,2
1,26,1,0,4,0,0,0,2,-23.0,0,0,0,0,0
0,27,1,0,6,0,0,0,1,-1.0,1,1,1,1,16
1,22,0,0,8,0,0,0,2,-1.0,0,1,2,0,1
0,43,1,1,1,0,0,0,0,0.0,0,0,0,0,0
0,55,2,1,1,0,0,0,0,-1.0,1,0,0,0,0
1,20,0,0,2,0,0,2,1,-1.0,0,0,0,0,2
1,22,0,0,7,0,0,0,1,-1.0,1,1,1,1,1
1,33,1,1,9,0,0,0,9,-1.0,0,1,2,1,49
1,55,2,1,8,0,0,0,7,0.0,0,0,2,0,0
1,22,0,0,6,0,0,0,1,-1.0,0,0,1,0,1
1,55,2,0,1,0,0,0,1,-1.0,0,0,0,0,9
0,43,1,1,1,0,0,0,0,-2.0,0,1,0,1,1
1,21,0,0,10,0,0,3,0,-1.0,0,1,2,1,6
1,23,0,0,2,0,0,0,0,-1.0,0,0,0,0,0
0,28,1,1,5,0,0,0,1,-2.0,1,0,1,0,0
1,39,1,0,1,0,0,0,1,-1.0,0,1,0,0,13
1,79,2,1,1,0,0,0,1,-22.0,1,0,0,0,1
1,48,2,1,1,0,0,0,1,-1.0,0,0,0,0,0
1,31,1,0,8,1,0,0,5,-1.0,1,0,2,0,0
1,30,1,1,5,0,1,0,4,-3.0,1,1,1,1,0
1,32,1,0,4,0,0,0,5,-1.0,0,1,0,1,0
1,56,2,1,1,0,0,0,1,-1.0,1,0,0,0,3
1,43,1,0,1,0,0,0,2,-1.0,1,0,0,0,2
1,27,1,0,7,0,0,0,21,0.0,0,1,1,1,35
1,41,1,0,6,0,0,0,0,-4.0,1,0,1,0,3
1,43,1,0,1,0,0,0,3,-4.0,1,1,0,1,1
0,33,1,0,1,0,0,0,1,-1.0,0,0,0,0,1
1,22,0,0,3,0,0,0,0,-1.0,0,0,0,0,9
1,34,1,0,1,0,0,0,3,-1.0,0,0,0,0,1
1,36,1,1,1,0,0,0,0,0.0,1,0,0,0,0
1,69,2,1,5,0,0,0,0,-1.0,0,0,1,0,0
1,32,1,1,5,0,0,0,5,-1.0,0,1,1,1,0
1,22,0,0,7,0,0,0,1,0.0,0,1,1,1,0
1,46,2,1,5,0,0,0,0,-1.0,0,0,1,0,78
1,34,1,1,5,0,0,0,1,-14.0,1,0,1,0,1
1,39,1,0,1,0,0,0,0,-1.0,1,0,0,0,0
1,25,1,0,7,0,0,1,6,-1.0,1,1,1,1,1
1,63,2,0,6,0,0,0,9,0.0,0,1,1,1,1
1,24,0,1,4,0,0,0,8,-1.0,0,1,0,1,0
1,29,1,1,5,0,0,0,2,-2.0,1,1,1,0,1
1,20,0,0,8,0,3,0,3,0.0,0,1,2,1,-1
0,40,1,1,5,0,0,0,0,-1.0,1,0,1,0,2
1,30,1,0,8,0,0,0,7,0.0,0,1,2,1,0
1,50,2,1,7,0,0,0,5,-8.0,0,1,1,0,5
1,37,1,0,7,0,0,0,4,-1.0,1,1,1,1,75
1,34,1,0,7,0,0,0,1,0.0,0,0,1,0,-1
0,31,1,0,2,0,0,0,1,-1.0,1,1,0,1,1
1,23,0,1,7,0,0,1,10,-1.0,0,1,1,0,70
1,37,1,1,1,0,0,0,2,-1.0,0,1,0,1,4
1,26,1,1,5,0,0,0,2,-1.0,0,0,1,0,0
1,34,1,0,9,0,0,0,12,-1.0,0,1,2,1,11
1,59,2,1,1,0,0,0,2,-15.0,1,1,0,1,0
1,37,1,1,2,0,0,0,2,-12.0,1,0,0,0,12
1,45,2,1,1,0,0,0,1,-1.0,0,1,0,1,5
1,22,0,0,8,0,0,0,1,-1.0,0,0,2,0,36
1,24,0,0,8,0,0,1,3,26.0,0,1,2,1,35
1,25,1,0,5,0,0,0,5,-1.0,0,0,1,0,36
1,24,0,0,6,0,0,0,6,-1.0,0,1,1,1,1
1,20,0,0,4,0,0,0,1,-1.0,1,1,0,1,1
0,32,1,1,2,0,0,0,2,-1.0,0,1,0,1,0
1,49,2,0,8,0,0,0,3,-1.0,0,1,2,1,0
1,31,1,1,7,0,0,0,11,-1.0,0,1,1,1,0
1,58,2,1,7,0,0,0,7,-1.0,0,1,1,1,185
1,26,1,0,7,0,1,1,11,-1.0,0,1,1,1,1
1,20,0,0,6,1,0,0,1,-20.0,0,0,1,0,2
1,51,2,1,2,0,0,0,1,-1.0,1,1,0,1,1
1,30,1,0,2,0,0,0,2,-1.0,1,0,0,0,18
1,26,1,0,6,0,0,0,2,-1.0,0,0,1,0,33
0,26,1,1,5,0,0,0,0,-4.0,0,0,1,0,0
1,26,1,0,4,0,0,0,5,-1.0,0,0,0,0,2
1,20,0,1,2,0,0,2,0,-1.0,0,0,0,0,1
1,28,1,0,3,0,0,0,0,0.0,0,1,0,1,15
